model,layer,best_C,roc_auc,num_nonzero,sparsity_ratio,top_20_dims
base,16,0.1,0.8492916463116755,271,0.17643229166666666,"[352, 400, 1325, 1119, 1055, 204, 1481, 500, 575, 1495, 951, 962, 507, 1202, 69, 637, 1403, 1477, 671, 1094]"
distilled,16,0.1,0.8564973131411823,291,0.189453125,"[1119, 1143, 600, 453, 791, 1477, 785, 1116, 250, 889, 82, 1194, 1002, 1094, 1263, 1449, 300, 326, 388, 796]"
base,17,0.1,0.8541768441621885,256,0.16666666666666666,"[352, 334, 400, 117, 1026, 746, 515, 847, 1054, 1107, 575, 868, 1425, 507, 1150, 651, 500, 774, 1307, 637]"
distilled,17,0.1,0.8425396049968596,285,0.185546875,"[82, 1143, 1477, 18, 1057, 1108, 607, 1029, 1444, 300, 63, 926, 1269, 940, 1314, 1080, 204, 465, 764, 1030]"
base,18,0.1,0.8402016888826854,232,0.15104166666666666,"[867, 525, 1082, 575, 1094, 90, 1201, 111, 783, 300, 637, 515, 1456, 791, 1499, 1533, 1425, 959, 270, 1287]"
distilled,18,0.1,0.8426966292134832,277,0.18033854166666666,"[1477, 325, 1143, 82, 1094, 300, 308, 785, 1432, 441, 270, 648, 665, 374, 1491, 486, 926, 1108, 1533, 1403]"
base,19,0.1,0.8331879405401633,224,0.14583333333333334,"[624, 1425, 1082, 1267, 500, 867, 1098, 783, 111, 1210, 497, 525, 575, 300, 671, 960, 1451, 1533, 959, 201]"
distilled,19,0.1,0.8442668713797195,257,0.16731770833333334,"[785, 1061, 1025, 161, 344, 712, 1477, 382, 652, 300, 441, 575, 1143, 1098, 1094, 402, 926, 551, 1194, 1267]"
base,20,0.1,0.8241328773815338,219,0.142578125,"[344, 1082, 1336, 300, 515, 1451, 745, 54, 1533, 637, 1042, 918, 1098, 1223, 382, 1477, 867, 239, 543, 952]"
distilled,20,0.1,0.8389629422848768,247,0.16080729166666666,"[785, 382, 344, 300, 600, 1094, 787, 168, 1056, 374, 693, 1267, 772, 597, 1019, 167, 226, 575, 441, 465]"
base,21,0.1,0.8153395212506106,208,0.13541666666666666,"[300, 1267, 155, 1037, 889, 1386, 359, 92, 1104, 747, 1336, 324, 1042, 957, 208, 1474, 884, 1150, 216, 1259]"
