model_key,layer,probe_type,best_C,roc_auc,precision,recall,f1,ece
base,9,mlp,,0.934893159258716,0.6589147286821705,0.8333333333333334,0.7359307359307359,0.08132141564507962
base,10,linear,0.01,0.9371668867048066,0.6541353383458647,0.8529411764705882,0.7404255319148936,0.08134702810013353
base,10,mlp,,0.9354065815852526,0.6742424242424242,0.8725490196078431,0.7606837606837606,0.07885616522645263
base,11,linear,0.01,0.9419343797369322,0.71900826446281,0.8529411764705882,0.7802690582959642,0.06679906861848804
base,11,mlp,,0.9463351425358173,0.6846153846153846,0.8725490196078431,0.7672413793103449,0.057360638892111446
base,12,linear,0.01,0.9490489462617966,0.7131147540983607,0.8529411764705882,0.7767857142857143,0.06934472531276266
base,12,mlp,,0.9430101217544374,0.5502958579881657,0.9117647058823529,0.6863468634686347,0.14068235976299343
base,13,linear,0.01,0.9527895946408489,0.7338709677419355,0.8921568627450981,0.8053097345132744,0.06726262209932295
base,13,mlp,,0.9487800107574202,0.636986301369863,0.9117647058823529,0.75,0.09151633992369027
base,14,linear,0.01,0.9565546917021173,0.7416666666666667,0.8725490196078431,0.8018018018018018,0.05101881512548065
base,14,mlp,,0.9496112659527652,0.7456140350877193,0.8333333333333334,0.7870370370370371,0.05237883675721276
base,15,linear,0.01,0.9557478851889882,0.7007874015748031,0.8725490196078431,0.777292576419214,0.06266877409717965
base,15,mlp,,0.9442081071830228,0.7272727272727273,0.8627450980392157,0.7892376681614349,0.057624980733242945
base,16,linear,0.01,0.9561635127866609,0.7258064516129032,0.8823529411764706,0.7964601769911505,0.05578687045267089
base,16,mlp,,0.9509314947924307,0.7521367521367521,0.8627450980392157,0.8036529680365296,0.051863884842152874
base,17,linear,0.01,0.9565057943376852,0.7244094488188977,0.9019607843137255,0.8034934497816594,0.058715947289373245
base,17,mlp,,0.9474231088944306,0.6884057971014492,0.9313725490196079,0.7916666666666666,0.07314388641706161
base,18,linear,0.01,0.9629602464427167,0.7196969696969697,0.9313725490196079,0.811965811965812,0.0668685355818978
base,18,mlp,,0.9559923720111486,0.7627118644067796,0.8823529411764706,0.8181818181818182,0.051539583853769964
base,19,linear,0.01,0.9596841230257689,0.736,0.9019607843137255,0.8105726872246696,0.05824250832928846
base,19,mlp,,0.9519338907632878,0.6785714285714286,0.9313725490196079,0.7851239669421488,0.07645855445940618
base,20,linear,0.01,0.9574103955796782,0.7286821705426356,0.9215686274509803,0.8138528138528138,0.06506894631866075
base,20,mlp,,0.9575326389907584,0.7338709677419355,0.8921568627450981,0.8053097345132744,0.04622507999997372
base,21,linear,0.01,0.9543054129382427,0.7131782945736435,0.9019607843137255,0.7965367965367965,0.060363250100078945
base,21,mlp,,0.9534008116962496,0.7333333333333333,0.8627450980392157,0.7927927927927928,0.05038960282663049
base,22,linear,0.01,0.953718644565058,0.728,0.8921568627450981,0.801762114537445,0.06085348773182819
base,22,mlp,,0.9476553713754828,0.7456140350877193,0.8333333333333334,0.7870370370370371,0.05357061601086533
base,23,linear,0.01,0.9535230551073297,0.7076923076923077,0.9019607843137255,0.7931034482758621,0.06347896379782378
base,23,mlp,,0.9420077257835803,0.6713286713286714,0.9411764705882353,0.7836734693877551,0.07423186165912013
