layer_i,layer_j,cka
15,1,0.7254538536071777
15,2,0.7666015625
15,3,0.8268877863883972
15,4,0.8468408584594727
15,5,0.8675806522369385
15,6,0.8646184802055359
15,7,0.877089262008667
15,8,0.9041518568992615
15,9,0.9215272665023804
15,10,0.9433510899543762
15,11,0.9566318988800049
15,12,0.971049964427948
15,13,0.9797624945640564
15,14,0.9898980855941772
15,15,0.9999997615814209
15,16,0.9869050979614258
15,17,0.9798831939697266
15,18,0.960433304309845
15,19,0.9484549760818481
15,20,0.9119391441345215
15,21,0.8640962839126587
15,22,0.8180451989173889
15,23,0.7924433946609497
15,24,0.7784451246261597
15,25,0.7860262393951416
15,26,0.7803027033805847
15,27,0.7807467579841614
15,28,0.6185526251792908
16,0,0.6495171189308167
16,1,0.6821191310882568
16,2,0.7266256213188171
16,3,0.7880357503890991
16,4,0.8113874197006226
16,5,0.8332446813583374
16,6,0.8281410336494446
16,7,0.8382644653320312
16,8,0.8693661689758301
16,9,0.8857641220092773
16,10,0.9154845476150513
16,11,0.9320533275604248
16,12,0.9527516961097717
16,13,0.959064781665802
16,14,0.9791588187217712
16,15,0.9869046807289124
16,16,1.0
16,17,0.9882912039756775
16,18,0.9695609211921692
16,19,0.9593461155891418
16,20,0.9169492125511169
16,21,0.8693825006484985
16,22,0.8228927850723267
16,23,0.7961944937705994
16,24,0.7796410918235779
16,25,0.79050213098526
16,26,0.7812575101852417
16,27,0.7795150876045227
16,28,0.5937426686286926
17,0,0.6694803833961487
17,1,0.6865622997283936
17,2,0.7237631678581238
17,3,0.784842312335968
17,4,0.8094741106033325
17,5,0.838942289352417
17,6,0.8330672383308411
17,7,0.8413670659065247
17,8,0.8689658045768738
17,9,0.885981559753418
17,10,0.9112799763679504
17,11,0.9277981519699097
17,12,0.9470771551132202
17,13,0.9560465216636658
17,14,0.969615638256073
17,15,0.9798835515975952
17,16,0.9882916212081909
17,17,1.0
17,18,0.9849734902381897
17,19,0.9744929075241089
17,20,0.9399157762527466
17,21,0.8973382115364075
17,22,0.8530484437942505
17,23,0.8266301155090332
17,24,0.8107483386993408
17,25,0.8173335790634155
17,26,0.8085047006607056
17,27,0.8051433563232422
17,28,0.6166861653327942
18,0,0.6574669480323792
18,1,0.6704905033111572
18,2,0.704611599445343
