condition,layer,roc_auc,roc_auc_ci_lo,roc_auc_ci_hi,n_samples,pct_correct
base_on_distilled_text,0,0.519122165355647,0.4987451899691253,0.5394991407421688,2500,0.196
base_on_distilled_text,1,0.7805936810452823,0.7090262239730668,0.8521611381174977,2500,0.196
base_on_distilled_text,2,0.8067711891693543,0.7468843465692621,0.8666580317694466,2500,0.196
base_on_distilled_text,3,0.8076726482236998,0.7518124387497839,0.8635328576976157,2500,0.196
base_on_distilled_text,4,0.8199009572728677,0.7660796323956977,0.8737222821500378,2500,0.196
base_on_distilled_text,5,0.8278272459402503,0.7763825965995984,0.8792718952809021,2500,0.196
base_on_distilled_text,6,0.8217112787956392,0.7671343059850516,0.8762882516062268,2500,0.196
base_on_distilled_text,7,0.8226156820877097,0.7681967558958156,0.8770346082796039,2500,0.196
base_on_distilled_text,8,0.8249662849330457,0.7760878863869884,0.8738446834791029,2500,0.196
base_on_distilled_text,9,0.8343053657781679,0.7851517151790145,0.8834590163773214,2500,0.196
base_on_distilled_text,10,0.836977210721271,0.7853697523888187,0.8885846690537232,2500,0.196
base_on_distilled_text,11,0.8472390609419879,0.7980624742614513,0.8964156476225245,2500,0.196
base_on_distilled_text,12,0.8452141139299618,0.7961635421336567,0.8942646857262669,2500,0.196
base_on_distilled_text,13,0.8341535495329138,0.7881424446501573,0.8801646544156703,2500,0.196
base_on_distilled_text,14,0.8458306025291311,0.8001065450359829,0.8915546600222793,2500,0.196
base_on_distilled_text,15,0.8442009806479961,0.7981661242410644,0.8902358370549278,2500,0.196
base_on_distilled_text,16,0.8542360279076375,0.8078522888155613,0.9006197669997138,2500,0.196
base_on_distilled_text,17,0.8577930753694059,0.8071745145697184,0.9084116361690932,2500,0.196
base_on_distilled_text,18,0.8534384458225682,0.8039147111132128,0.9029621805319236,2500,0.196
base_on_distilled_text,19,0.8462263465154697,0.8001486524859378,0.8923040405450016,2500,0.196
base_on_distilled_text,20,0.8435946935977432,0.7982142782104832,0.8889751089850032,2500,0.196
base_on_distilled_text,21,0.8470672454076181,0.8027919886464714,0.8913425021687649,2500,0.196
base_on_distilled_text,22,0.8466526526788141,0.8013978588325071,0.891907446525121,2500,0.196
base_on_distilled_text,23,0.8446546316144208,0.7985976876536426,0.890711575575199,2500,0.196
base_on_distilled_text,24,0.8410963222161165,0.7935549223752931,0.8886377220569399,2500,0.196
base_on_distilled_text,25,0.8399768865083498,0.7931716170548135,0.886782155961886,2500,0.196
base_on_distilled_text,26,0.8382052395564459,0.7927381259891912,0.8836723531237005,2500,0.196
base_on_distilled_text,27,0.8316292314076874,0.7836486078145085,0.8796098550008663,2500,0.196
base_on_distilled_text,28,0.819717028938794,0.7714941426856682,0.8679399151919197,2500,0.196
base_native_2500,0,0.5135316423432862,0.47131098340293903,0.5557523012836333,2500,0.8456
base_native_2500,1,0.6487680730179298,0.5904264359584316,0.7071097100774281,2500,0.8456
base_native_2500,2,0.7260511967676825,0.6690702226397265,0.7830321708956385,2500,0.8456
base_native_2500,3,0.7235429680966107,0.6570244765813454,0.7900614596118759,2500,0.8456
base_native_2500,4,0.7345326814822682,0.6685449201408782,0.8005204428236583,2500,0.8456
base_native_2500,5,0.7398639098185313,0.6745847433895982,0.8051430762474645,2500,0.8456
base_native_2500,6,0.734378845798178,0.6437552970330217,0.8250023945633344,2500,0.8456
base_native_2500,7,0.726230208410697,0.6408055632444297,0.8116548535769642,2500,0.8456
base_native_2500,8,0.7357845364289127,0.6541346907437857,0.8174343821140397,2500,0.8456
base_native_2500,9,0.7418623249306558,0.6602586263892033,0.8234660234721084,2500,0.8456
base_native_2500,10,0.7484961260333053,0.6834387858870598,0.8135534661795508,2500,0.8456
base_native_2500,11,0.7537968418340271,0.7072117782627326,0.8003819054053215,2500,0.8456
base_native_2500,12,0.7652468058280772,0.7005806147732541,0.8299129968829004,2500,0.8456
base_native_2500,13,0.756377974685028,0.6931211411724906,0.8196348081975654,2500,0.8456
base_native_2500,14,0.7549982927201557,0.6683787320506815,0.8416178533896299,2500,0.8456
base_native_2500,15,0.7465960209503132,0.6718316479783573,0.8213603939222691,2500,0.8456
base_native_2500,16,0.7673452871573229,0.706004452217742,0.8286861220969037,2500,0.8456
base_native_2500,17,0.7743551761299223,0.707242962600195,0.8414673896596496,2500,0.8456
base_native_2500,18,0.7889530255889347,0.7183609677824588,0.8595450833954105,2500,0.8456
base_native_2500,19,0.7791748365055855,0.7037590443052488,0.8545906287059222,2500,0.8456
base_native_2500,20,0.7817083797743803,0.7328218720605932,0.8305948874881675,2500,0.8456
base_native_2500,21,0.7851425528018047,0.7201787105869829,0.8501063950166264,2500,0.8456
base_native_2500,22,0.7781371362926058,0.7141600182402706,0.842114254344941,2500,0.8456
base_native_2500,23,0.7639955961569129,0.7012109635118497,0.8267802288019761,2500,0.8456
base_native_2500,24,0.75489334528631,0.6848209167640198,0.8249657738086003,2500,0.8456
base_native_2500,25,0.7483037348046927,0.6732329456498745,0.8233745239595109,2500,0.8456
base_native_2500,26,0.7361696270956694,0.6540784164803853,0.8182608377109534,2500,0.8456
base_native_2500,27,0.726490993247671,0.6441800748843463,0.8088019116109957,2500,0.8456
base_native_2500,28,0.7251399183983096,0.6476952586722177,0.8025845781244015,2500,0.8456
