threshold,accuracy,mean_tokens_saved_pct,median_tokens_saved_pct,num_early_exits,num_problems,label
1.0,0.642,0.0,0.0,0,500,no_exit
0.3,0.04,61.045473132576376,68.33929636255218,459,500,τ=0.3
0.4,0.054,58.62003443620076,66.32508809314892,452,500,τ=0.4
0.5,0.082,55.24234925349195,63.379229036400766,439,500,τ=0.5
0.6,0.114,52.577806092529045,61.41065830721003,432,500,τ=0.6
0.7,0.154,47.722526048018906,55.87503080315677,408,500,τ=0.7
0.8,0.212,41.59317589555703,46.535355739851596,371,500,τ=0.8
0.9,0.316,30.485346824853778,17.92256596488002,285,500,τ=0.9
0.95,0.422,20.881664334397403,0.0,199,500,τ=0.95
