base_layer,distilled_layer,cka
2,27,0.637031614780426
2,28,0.7015101909637451
3,0,0.8529466390609741
3,1,0.9259682297706604
3,2,0.9342942237854004
3,3,0.9755070209503174
3,4,0.9502274394035339
3,5,0.9538848996162415
3,6,0.9526139497756958
3,7,0.9532472491264343
3,8,0.9468004703521729
3,9,0.9329914450645447
3,10,0.9196366667747498
3,11,0.9062126874923706
3,12,0.895980179309845
3,13,0.8970698118209839
3,14,0.8643522262573242
3,15,0.8602094650268555
3,16,0.8313699960708618
3,17,0.8351781368255615
3,18,0.826845645904541
3,19,0.8097110986709595
3,20,0.8028995394706726
3,21,0.7924278974533081
3,22,0.780001163482666
3,23,0.7730904221534729
3,24,0.7712970972061157
3,25,0.7740968465805054
3,26,0.7785735130310059
3,27,0.7852539420127869
3,28,0.783564567565918
4,0,0.8107316493988037
4,1,0.8859260678291321
4,2,0.9066605567932129
4,3,0.9550063014030457
4,4,0.9623371362686157
4,5,0.9469097852706909
4,6,0.9429622292518616
4,7,0.9419475793838501
4,8,0.9381111860275269
4,9,0.9260108470916748
4,10,0.9170542359352112
4,11,0.9043870568275452
4,12,0.8954929709434509
4,13,0.8924111723899841
4,14,0.8662797212600708
4,15,0.860375165939331
4,16,0.8368954658508301
4,17,0.834686279296875
4,18,0.8226061463356018
4,19,0.804806113243103
4,20,0.7839722633361816
4,21,0.7682101130485535
4,22,0.7555090188980103
4,23,0.7413582801818848
4,24,0.7374444007873535
4,25,0.7433106899261475
4,26,0.7458516955375671
4,27,0.7538436651229858
4,28,0.7515698671340942
5,0,0.8336623907089233
5,1,0.8709009885787964
5,2,0.8767498731613159
5,3,0.9390457272529602
5,4,0.9358221888542175
5,5,0.9675918221473694
5,6,0.9612250924110413
5,7,0.9578015804290771
5,8,0.9507015943527222
5,9,0.9381850361824036
5,10,0.9340875744819641
5,11,0.9213206768035889
5,12,0.9178758859634399
5,13,0.9182935357093811
5,14,0.8889302611351013
5,15,0.8863807916641235
5,16,0.8663979768753052
5,17,0.8701499104499817
5,18,0.862934410572052
5,19,0.8439612984657288
5,20,0.8388501405715942
5,21,0.8331936597824097
5,22,0.8226682543754578
5,23,0.8148891925811768
5,24,0.812637448310852
5,25,0.8148543834686279
5,26,0.8175990581512451
5,27,0.8230370283126831
5,28,0.8008522987365723
6,0,0.833755612373352
6,1,0.8713740706443787
6,2,0.8726255297660828
6,3,0.940454363822937
6,4,0.9340984225273132
6,5,0.9625528454780579
6,6,0.9672792553901672
6,7,0.9623240828514099
6,8,0.9510514736175537
6,9,0.9408344626426697
6,10,0.931978702545166
6,11,0.9215409159660339
6,12,0.9147082567214966
6,13,0.9171509742736816
6,14,0.8850182294845581
6,15,0.8870891332626343
6,16,0.8623159527778625
6,17,0.8668868541717529
6,18,0.8600310683250427
6,19,0.8406134843826294
6,20,0.8384612202644348
6,21,0.8281844258308411
6,22,0.8183196783065796
6,23,0.8090807199478149
6,24,0.8058956265449524
6,25,0.8083124160766602
6,26,0.8123219013214111
6,27,0.8200136423110962
6,28,0.8105700016021729
7,0,0.8307503461837769
7,1,0.8775380253791809
7,2,0.878229022026062
7,3,0.9347549080848694
7,4,0.9233815670013428
7,5,0.9515553712844849
7,6,0.9574397802352905
7,7,0.9639853239059448
7,8,0.9538614749908447
7,9,0.9428191781044006
7,10,0.9329174160957336
7,11,0.9223570823669434
7,12,0.9146410226821899
7,13,0.9170880317687988
7,14,0.8840344548225403
