layer_i,layer_j,cka
16,9,0.9184446930885315
16,10,0.9344572424888611
16,11,0.9500276446342468
16,12,0.9658861756324768
16,13,0.9741427302360535
16,14,0.9831423163414001
16,15,0.9904020428657532
16,16,1.0
16,17,0.9889557361602783
16,18,0.9795308709144592
16,19,0.966223955154419
16,20,0.9413838386535645
16,21,0.9179103374481201
16,22,0.8889139890670776
16,23,0.8800540566444397
16,24,0.867108166217804
16,25,0.8643168807029724
16,26,0.8563677668571472
16,27,0.8467928171157837
16,28,0.5891392230987549
17,0,0.7192518711090088
17,1,0.6808485984802246
17,2,0.7206815481185913
17,3,0.8297393321990967
17,4,0.8463027477264404
17,5,0.8785215616226196
17,6,0.8845829367637634
17,7,0.8868863582611084
17,8,0.8974649906158447
17,9,0.9072292447090149
17,10,0.9164924025535583
17,11,0.9320842027664185
17,12,0.9504615068435669
17,13,0.9634053111076355
17,14,0.9696224927902222
17,15,0.9798048138618469
17,16,0.9889560341835022
17,17,1.0
17,18,0.9867939949035645
17,19,0.9761631488800049
17,20,0.9575753211975098
17,21,0.9391295313835144
17,22,0.910341203212738
17,23,0.9055773615837097
17,24,0.8962190747261047
17,25,0.8913036584854126
17,26,0.8829894065856934
17,27,0.871596097946167
17,28,0.5928604006767273
18,0,0.7219285368919373
18,1,0.678428590297699
18,2,0.7133260369300842
18,3,0.8242592215538025
18,4,0.8397818803787231
18,5,0.8769974708557129
18,6,0.8804622888565063
18,7,0.8815073370933533
18,8,0.8904497623443604
18,9,0.8993719816207886
18,10,0.909968912601471
18,11,0.9265426993370056
18,12,0.9448099732398987
18,13,0.9546619057655334
18,14,0.9601866602897644
18,15,0.9707976579666138
18,16,0.9795301556587219
18,17,0.9867934584617615
18,18,1.0
18,19,0.9907769560813904
18,20,0.974632740020752
18,21,0.9552643895149231
18,22,0.9286463260650635
18,23,0.9216803908348083
18,24,0.9078330397605896
18,25,0.9031432271003723
18,26,0.8940244317054749
18,27,0.881020188331604
18,28,0.5965051651000977
19,0,0.7015706300735474
19,1,0.6623799204826355
19,2,0.7005974650382996
19,3,0.8052521347999573
19,4,0.8223601579666138
19,5,0.8557819724082947
19,6,0.8598384857177734
19,7,0.8616439700126648
19,8,0.8716044425964355
19,9,0.8814812898635864
19,10,0.8906108140945435
19,11,0.9073173999786377
19,12,0.9276037216186523
19,13,0.9383713603019714
19,14,0.945889949798584
19,15,0.956717848777771
19,16,0.9662240743637085
19,17,0.9761631488800049
19,18,0.9907763004302979
19,19,1.0
19,20,0.9807384610176086
19,21,0.9597153067588806
19,22,0.9349769949913025
19,23,0.9279954433441162
19,24,0.9128228425979614
19,25,0.9101306796073914
19,26,0.9030665755271912
19,27,0.8918278813362122
19,28,0.5999113321304321
20,0,0.7076789736747742
20,1,0.6511731147766113
20,2,0.676885724067688
20,3,0.7905750274658203
20,4,0.7984815835952759
20,5,0.8406035900115967
20,6,0.849704384803772
20,7,0.8509929776191711
20,8,0.8531705737113953
20,9,0.8611201643943787
20,10,0.8632639646530151
20,11,0.8788666725158691
20,12,0.8986783027648926
20,13,0.911918580532074
20,14,0.915675938129425
20,15,0.9330626726150513
20,16,0.9413834810256958
20,17,0.9575749635696411
20,18,0.9746325016021729
20,19,0.9807384610176086
20,20,1.0
20,21,0.9860895872116089
20,22,0.9668107032775879
20,23,0.9616538286209106
20,24,0.9462850689888
20,25,0.9406275153160095
20,26,0.9315126538276672
20,27,0.9172478318214417
20,28,0.6013869643211365
21,0,0.7059106826782227
21,1,0.6412047147750854
21,2,0.6605236530303955
21,3,0.7766100168228149
21,4,0.7809232473373413
21,5,0.8277049660682678
21,6,0.8362475633621216
21,7,0.8352420330047607
21,8,0.833185076713562
21,9,0.8373786807060242
21,10,0.8378944396972656
21,11,0.854031503200531
21,12,0.875190019607544
21,13,0.89075767993927
21,14,0.892848014831543
21,15,0.9095872640609741
21,16,0.917909562587738
21,17,0.9391283392906189
21,18,0.9552640318870544
21,19,0.9597153663635254
21,20,0.9860895872116089
21,21,1.0
