model,layer,best_C,roc_auc,num_nonzero,sparsity_ratio,top_20_dims
base,16,0.1,0.7808159722222222,62,0.040364583333333336,"[982, 513, 1079, 352, 31, 575, 24, 36, 1395, 1449, 772, 1009, 35, 1168, 1432, 353, 1108, 1535, 1201, 275]"
distilled,16,10.0,0.8233506944444444,937,0.6100260416666666,"[558, 905, 1079, 0, 417, 710, 1341, 1057, 1027, 112, 651, 505, 451, 1419, 592, 1204, 1265, 1010, 1336, 76]"
base,17,0.1,0.8198784722222222,75,0.048828125,"[1313, 1216, 36, 818, 31, 161, 53, 1082, 1395, 620, 1269, 304, 352, 465, 24, 1521, 63, 116, 271, 1322]"
distilled,17,0.1,0.8428819444444444,77,0.050130208333333336,"[417, 74, 648, 575, 141, 112, 1244, 1237, 182, 1057, 63, 1455, 988, 1189, 99, 483, 71, 1405, 18, 437]"
base,18,1.0,0.7873263888888888,269,0.17513020833333334,"[1356, 122, 609, 1127, 873, 1031, 585, 917, 478, 1108, 1238, 279, 673, 733, 71, 1358, 137, 31, 63, 1157]"
distilled,18,1.0,0.8654513888888888,263,0.17122395833333334,"[417, 575, 881, 1155, 19, 62, 682, 657, 1410, 1363, 505, 165, 54, 330, 156, 1141, 988, 1407, 611, 1062]"
base,19,10.0,0.7860243055555556,789,0.513671875,"[279, 917, 31, 1014, 576, 249, 507, 69, 719, 1054, 106, 554, 491, 685, 1367, 566, 1312, 583, 1179, 639]"
distilled,19,10.0,0.853298611111111,982,0.6393229166666666,"[939, 575, 525, 161, 62, 7, 306, 926, 73, 19, 744, 1081, 1089, 505, 1507, 163, 576, 1461, 1309, 1433]"
base,20,0.1,0.7860243055555556,59,0.038411458333333336,"[30, 821, 465, 219, 496, 883, 1358, 726, 1189, 161, 556, 1140, 1396, 758, 579, 428, 577, 819, 484, 175]"
distilled,20,10.0,0.8541666666666666,1100,0.7161458333333334,"[1507, 575, 1037, 620, 957, 250, 562, 43, 161, 1082, 525, 241, 8, 1113, 330, 62, 576, 926, 1013, 7]"
base,21,1.0,0.7916666666666667,265,0.17252604166666666,"[819, 1085, 917, 37, 1157, 321, 1495, 69, 62, 1358, 166, 157, 579, 1194, 1258, 366, 341, 710, 1039, 752]"
distilled,21,0.1,0.8359375,62,0.040364583333333336,"[809, 166, 7, 300, 161, 250, 1093, 575, 620, 659, 1519, 1094, 1425, 998, 1227, 1037, 1013, 71, 1413, 1248]"
base,22,1.0,0.802517361111111,224,0.14583333333333334,"[1180, 412, 1157, 830, 917, 1511, 1137, 396, 319, 245, 615, 973, 710, 998, 41, 166, 496, 57, 328, 996]"
distilled,22,10.0,0.8450520833333334,1126,0.7330729166666666,"[1507, 166, 386, 161, 1433, 1325, 300, 1441, 1465, 1115, 809, 1217, 620, 510, 111, 199, 597, 308, 22, 641]"
base,23,10.0,0.8038194444444444,962,0.6263020833333334,"[917, 725, 1180, 1157, 509, 563, 299, 319, 57, 295, 953, 1178, 939, 41, 830, 705, 1037, 1500, 395, 166]"
distilled,23,10.0,0.8498263888888888,1075,0.6998697916666666,"[166, 1507, 1325, 620, 1525, 300, 540, 161, 1217, 186, 299, 868, 1137, 992, 1441, 1081, 250, 1409, 0, 1038]"
base,24,10.0,0.8198784722222222,896,0.5833333333333334,"[1157, 710, 1180, 1223, 917, 395, 1277, 973, 1500, 1415, 745, 998, 1033, 563, 1488, 547, 1082, 57, 1511, 166]"
distilled,24,10.0,0.8559027777777778,1131,0.736328125,"[868, 300, 166, 299, 1150, 1507, 1325, 1525, 838, 620, 1014, 540, 1297, 483, 1318, 1196, 1217, 349, 1060, 133]"
base,25,10.0,0.8246527777777779,947,0.6165364583333334,"[917, 1037, 1223, 626, 1157, 509, 395, 563, 1033, 1161, 328, 919, 181, 644, 1265, 973, 52, 939, 710, 1277]"
distilled,25,10.0,0.8702256944444444,1157,0.7532552083333334,"[868, 1137, 457, 299, 683, 478, 250, 554, 322, 998, 300, 375, 1525, 1150, 1507, 1152, 711, 133, 1275, 1325]"
base,26,10.0,0.7886284722222222,996,0.6484375,"[1384, 166, 935, 395, 644, 1223, 282, 626, 478, 745, 401, 1241, 176, 57, 1157, 1488, 1180, 942, 453, 1162]"
distilled,26,10.0,0.8480902777777778,1111,0.7233072916666666,"[478, 868, 1297, 353, 1137, 1380, 156, 375, 457, 1507, 1115, 1037, 943, 1217, 430, 133, 1431, 1091, 887, 590]"
base,27,10.0,0.802517361111111,933,0.607421875,"[745, 166, 604, 1244, 1149, 1207, 1162, 1180, 401, 1036, 1384, 885, 366, 797, 181, 537, 919, 1223, 1103, 464]"
distilled,27,10.0,0.8602430555555556,1134,0.73828125,"[1137, 868, 1001, 243, 1110, 1494, 401, 366, 823, 353, 757, 974, 46, 174, 457, 430, 1295, 526, 373, 540]"
base,28,1.0,0.7725694444444444,301,0.19596354166666666,"[604, 464, 1186, 680, 1207, 328, 517, 166, 401, 745, 366, 772, 1420, 257, 299, 1259, 919, 1337, 899, 825]"
distilled,28,10.0,0.8320312500000001,1143,0.744140625,"[1001, 457, 1494, 353, 373, 1137, 1110, 277, 243, 1324, 1417, 597, 1276, 768, 620, 1431, 1320, 1488, 174, 1315]"
